codice,polo,dist_km,durata_min
012073,012073,,
012074,012072,8.04,13.0
012075,012119,5.58,10.7
012076,012092,4.02,8.4
012077,012123,6.36,11.4
012078,012127,7.67,11.9
012079,012042,5.38,10.1
012080,012127,6.34,12.1
012081,012092,9.51,15.7
012082,012072,11.56,17.4
012083,012015,7.16,17.1
012084,012072,10.56,16.7
012085,012070,6.11,10.8
012086,012092,12.15,18.2
012087,012087,,
012088,012087,5.89,9.3
012089,012127,3.7,7.2
012090,015062,7.61,10.5
012091,012073,3.09,5.3
012092,012092,,
012093,012072,4.91,7.9
012096,012073,7.77,13.7
012097,012092,15.51,23.4
012098,012042,3.36,7.5
012099,012015,16.5,23.1
012100,012092,12.6,22.0
012101,012120,4.84,11.3
012102,012092,9.43,17.9
012103,012092,8.63,15.4
012104,012087,8.44,11.6
012105,012073,2.51,4.5
013071,013189,4.69,8.3
013074,013145,15.46,29.5
013075,013075,,
013077,013189,8.87,14.1
013083,013145,14.86,29.6
013084,013041,4.04,8.8
013085,013189,15.75,30.3
013087,013189,19.33,27.9
013089,097023,15.22,25.3
013090,013145,17.19,28.7
013092,,,
013095,013095,,
013097,013134,2.64,4.9
013098,013075,15.5,24.0
013099,013165,3.09,5.5
013100,013133,3.02,5.3
013101,013041,4.66,7.2
013102,013133,7.46,12.5
013106,013145,26.2,51.4
013107,097023,10.17,20.0
013110,013075,5.96,12.2
013111,013145,10.26,18.2
013113,013145,2.9,5.5
013114,013133,4.66,8.1
013118,108024,6.75,12.9
013119,013075,13.39,22.7
013120,013189,13.5,20.0
013121,108024,12.26,14.3
013123,013134,9.57,15.1
013126,013145,13.72,30.4
013128,013133,6.59,10.9
013129,013075,5.01,11.5
013130,,,
013131,012127,4.24,8.0
013133,013133,,
013134,013134,,
013135,013133,12.57,12.4
013136,108024,8.56,17.0
013137,013133,5.62,9.9
013138,013165,3.57,7.1
013139,013134,14.32,22.1
013143,013143,,
013144,013075,8.14,16.8
013145,013145,,
013147,013134,6.39,12.2
013152,013075,12.23,22.3
013153,013134,8.95,14.9
013154,013165,6.44,10.0
013155,097023,24.94,47.0
013157,013041,7.19,13.4
013159,012127,6.07,10.2
013160,013145,13.8,24.0
013161,013134,24.83,35.3
013163,013143,5.2,8.9
013165,013165,,
013169,013010,2.94,7.2
013170,013041,7.78,12.9
013178,013145,28.8,50.0
013183,013145,15.27,31.8
013184,013189,20.21,32.5
013185,013145,11.24,22.8
013186,013075,13.68,21.1
013187,013189,16.74,29.4
013188,013095,2.27,4.1
013189,013189,,
013192,013134,2.41,7.8
013193,013134,5.02,7.6
013195,013134,11.02,16.4
013197,013165,9.93,16.1
013201,013133,4.66,7.0
013202,013133,4.86,7.0
013203,013145,13.86,27.8
013204,013189,16.98,29.4
013206,013165,8.75,13.9
013207,013189,18.84,31.5
013211,013189,23.73,35.4
013212,013041,6.24,10.2
013216,097023,19.33,36.5
013217,013134,19.29,27.2
013218,013145,22.19,37.0
